id,user_id,topic_id,title,description,resource_path,body,created,modified
1,3,1,Recursive String Search,Find string in files recursively through a specified directory...,/files/RecursiveStringSearch,"..]#> grep  --color -r ""COUNT"" modules/
   OR
..]#> egrep --color -rn "" GROUP BY"" modules/",2009-06-13 01:07:25,2009-06-13 01:07:25
2,3,1,Service Network Restart,restart network connections/services.,/files/ServiceNetworkRestart,..#]> service network restart,2009-06-13 01:20:21,2009-06-13 01:20:21
3,3,1,The quick NOte.,a quick note test.,/quickNooote,"This is a test,. <br> this should be on the next line.",2009-06-22 16:50:34,2009-06-22 16:50:34
4,3,1,This is an image display test note.,Displays image in this notes area.,testimage,"This is a test image.
The line below should display the image.
<BR/>
<img src='/notesimgs/testimage.png'/>
<BR/>
Hope this works.",2009-07-02 12:43:04,2009-09-28 23:19:21
7,4,1,Add sudoer.,Add a sudo authorization to a normal user .,/sudoer,"<code>..]#> cd \etc  </code>-go to ""/etc"" directory.<br>
<code>..]#> visudo  </code>OR <code>..]#> vim sudoers</code> -edit sudoer file.<br>

 - add ""nico ALL=(ALL)  ALL"" after the line ""root ALL=(ALL)  ALL""(add new sudoer, nico as the username.)<br>
 - press ESC and type "":x"" to save.",2009-07-03 12:43:40,2010-03-11 09:40:46
10,3,3,Altering 2 tables on a single action-controller,Adding data on 2 tables without leaving the current controller.,"","I've just solve a problem i have on my login page, where if a certain user is not yet registered, that user must be able to signup with the option to specify user informations like email, family name, etc.. Now this needs to edit at least two table, the users table and the users_info table or profile table, which ever you prefer. To do this please follow this link,  
<a href='http://book.cakephp.org/view/84/Saving-Related-Model-Data-hasOne-hasMany-belongsTo'>click here</a>.",2009-09-28 23:25:42,2009-11-08 00:41:15
12,3,3,Setting CakePHP's webroot as document root.,tips on deploying CakePHP as main web page.,"","&nbsp&nbsp&nbsp A CakePHP application has 3 important directories.  ""/cake"", ""/app"" and ""/vendor"". To avoid having problems in deploying, do not rename the  ""/app"" folder to anything if you want it to be your web host's root directory. Otherwise it will always display the <span style='color: blue;'>/app</span>'s new name to the url address.
<br><br>
&nbsp&nbsp&nbsp example:<br> 
&nbsp&nbsp If you rename ""/app"" folder to something like ""/newApp"", instead of having a url of ""http://linonico.com/users/about"", it will display ""http://linonico.com/newApp/users/about"".",2009-11-10 03:15:48,2010-08-31 00:02:52
9,3,2, Uploading Image to this Notes' module., how to upload images when an image is needed to illustrate a note.,NA,"To upload image just browse for the image using the buttons below and click on 'Upload File' then wait for the form to refresh the Note body so as to reflect the path of the uploaded image. below is an example:<br/><img src='/notesimgs/k1aLT_07Jul2009_135657_DragonImg2.jpg'/>
<br/>
See the image now? =)",2009-07-07 13:57:11,2009-07-11 00:18:29
11,3,1,Edit/Restart Apache Settings,Alter Apache settings.,"","&nbsp&nbsp At the terminal execute the commands as seen below:<BR>
&nbsp&nbsp <span style='font-family: courier;'>vi /etc/httpd/conf/httpd.conf</span>	 <span style=' color: #0000FF;'><i>- edit php/apache settings</i></span>
<BR>
&nbsp&nbsp <span style='font-family: courier;'>/etc/init.d/httpd restart</span>    <span style='color: #0000FF;'><i> -  restart apache.</i></span>",2009-11-05 17:14:15,2009-11-06 18:56:11
13,3,2,Joomla Column Manipulation,How to remove a column,"","To remove a column in Joomla. For example the 'right' column, just disable all modules assigned to the 'right' column and the rest of the page will simply fill to the new gap when the 'right' column is omitted.",2009-11-19 02:25:59,2009-11-19 02:25:59
14,3,1,TAR Usage,Compressing directories/files with tar command.,"","<span style='font-family: courier;'>tar -czvf app.tar.gz app/</span>
<span style=' color: #0000FF;'><i> &nbsp &nbsp &nbsp -compress to a tarball.</i></span>
<br>
<span style='font-family: courier;'>tar -xzvf filename.tar.gz</span>
<span style=' color: #0000FF;'><i> &nbsp &nbsp &nbsp -untar and ungzip a file to current directory.</i></span>
",2009-12-22 00:23:23,2009-12-22 00:28:13
15,3,4,Connect to secured router.,Basic requirments in connecting to a secured wireless router.,"","Be sure to have the following ready:
<span style='color: blue;'>. 
<br/>&nbsp Wep/tkip network id.
<br/>&nbsp password.
<br/>&nbsp add your device's nic address to the router filter. </span> ",2010-01-16 09:59:41,2010-01-29 00:12:55
16,3,1,Restart Apache server on Mac 10.6,How to restart Apache server on Mac 10.6,"","To restart Apache server on Mac.. On the terminal/console, type: 
<span style='font-family: courier; color: blue;'>
<br/>&nbsp sudo apachectl graceful
</span> ",2010-02-19 17:04:16,2010-02-19 17:07:31
17,3,5,Setting iPhone App Icon,Changing iphone's app icon using the CodeX iPhone SDK.,"","<span style='font-family: courier; color: blue;'>
<br/>
1. Create the Icon considering the following requirements:
<br/>
&nbsp&nbsp&nbsp - Image must be 57x57 pixels in size.
<br/>
&nbsp&nbsp&nbsp - File name must be named ""icon.png""
<br/>
<br/>
2. Save it inside the your project's top folder(this should normally be along with the project file).
<br/>
<br/>
3. Go to Menu's Project->Add to Project... Then select the Icon file. <span style='font-family: courier; color: red;'>(This is important some simply specifies the filename at the .pList file which does nothing.)</span>
<br/>
<br/>
4. That's it, rebuild your project and the icon should now be updated.
</span> ",2010-03-02 16:59:32,2010-03-02 17:09:19
18,3,1,Apache version,Command to determine the Apache version installed.,"","<span style='font-family: courier; color: blue;'>httpd -v</span>",2010-03-10 12:39:02,2010-03-10 12:39:54
19,3,4,Mac OS 10.6: Starting MySQL v5.1.44,Starting MySQL from terminal in Mac OS 10.6,"","if you're getting this error ""ERROR 2002: Can't connect to local MySQL server through socket '/tmp/mysql.sock' (2)"",  chances are you haven't started MySQL yet. Try the commands below:
<span style='font-family: courier; color: blue;'>
<br/>&nbsp&nbsp&nbsp
cd /usr/local/mysql;
<br/>&nbsp&nbsp&nbsp
sudo echo
<br/>&nbsp&nbsp&nbsp
sudo ./bin/mysqld_safe &
</span>",2010-03-16 16:35:39,2010-03-16 16:37:48
20,3,1,Finding files in linux,Find files modified at a specified time.,"","<span style='font-family: courier; color: blue;'>
Find modified files starting 5 days ago.
</span>
<br/>
&nbsp&nbsp&nbsp find / -mtime -5 -print
<br/>
<br/>
<span style='font-family: courier; color: blue;'>
To find files on a specific time frame. Example below shows all modified files from 3 days ago till 1 day earlier.
</span>
<br/>
&nbsp&nbsp&nbsp find . -ctime +1 -a -ctime -3",2010-03-18 17:38:20,2010-03-18 17:52:20
21,3,1,SVN Routine before editing SVN controlled file(s).,Things to do before altering SVN source controlled file(s).,"","<span style='color: blue;'>
Update the whole project first to sync changes committed in the repository.
</span>
<br/>
<span style='font-family: courier;'>
&nbsp&nbsp&nbsp svn update
</span>
<br/>
<span style='font-style:italic; font-size: 12px; width: 500px; ' >
 (one thing to note about update is it doesn't update files that you have altered and uncommitted. If you really want to get an updated copy of a file then just delete the file first or move it to a backup copy then execute update.)
</span>
<br/>
<br/>
<span style='color: blue;'>
View commit Log comments for possible relevant changes.
</span>
<br/>
<span style='font-family: courier;'>
&nbsp&nbsp&nbsp svn log
</span>
<br/>
<br/>
<span style='color: blue;'>
View your own uncommitted changes, you may have some changes that needs to be committed prior to you next coding.
</span>
<br/>
<span style='font-family: courier;'>
&nbsp&nbsp&nbsp svn status
</span>",2010-03-26 11:26:20,2010-03-26 11:47:23
22,3,3,Get Next Auto Increment Value,cakePHP: Retrieving next auto increment value from a model before adding the another record.,"","<br /><br />
<span style='font-family: courier; color: BLACK;'>
&nbsp$findResult= $this-><span style='color: #FF0000;'>MODEL</span>->find('first',<br />
&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp array('fields'=>'id', 'order'=>'<span style='color: #FF0000;'>MODEL</span>.id DESC'));<br/>
&nbsp$lastID = $findRes['<span style='color: #FF0000;'>MODEL</span>']['id'];<br />
&nbsp$nextID = $lastID + 1;
</span>",2010-06-04 13:09:25,2010-06-19 01:43:22
23,3,3,Clear Model Cache,Tips on changing cakePHP's tables,"","Ever wonder changing something on the database, like adding a new table field and then manipulating it on the controller, then you thought everything is going well until you find out that the table field you just added is not updating?? Try deleting the entire /tmp/cache/model folder, then you're good to go.",2010-06-18 14:42:10,2010-06-18 14:45:04
25,3,3,CakePHP: [this] keyword to access its child. ,"How to access an html element's child using ""this"" keyword.","","jQuery(""img"", this);
",2010-06-24 11:04:59,2010-06-24 11:04:59
26,3,1,MySQL: Get and Set a Table's auto_increment value.,Query mySQL table's status to determine its auto_increment value.,"","1. <span style='font-family: courier; color: blue;'>SHOW TABLE STATUS LIKE '[tablename]';</span><br/>
2. <span style='font-family: courier; color: blue;'>ALTER TABLE [tablename] auto_increment=[value]</span>;",2010-06-29 22:40:00,2010-06-29 22:43:08
27,3,1,How to fix: [CentOS 5.4] Timezone database is corrupt.,Troubleshooting a webserver having a fatal error with timezone.,"","<span style='font-family: courier; color: BLUE;'>Problem:</span><br />If you get into trouble with your webserver saying: [<span style='font-family: courier; color: BLACK;'>PHP Fatal error: date()/strftime() [function.strftime]: Timezone database is corrupt - this should *never* happen! in....</span>]
<br /><br />
<span style='font-family: courier; color: BLUE;'>Solution:</span><br />
Just reinstall timezone data. -> <span style='font-family: courier; color: BLACK;'>yum install tzdata</span>",2010-07-26 17:17:53,2010-07-26 17:25:00
28,3,1,SELinux:[CentOS 5.4] MySQL-PHP Remote Database script error fix.,Fixing PHP script unable to connect to remote MySQL database.,"","&nbsp&nbsp If you haven't disabled SELinux, by default it restricts httpd/Apache to connect to a remote database. Which explains why we can connect through terminal commands but cannot when using PHP scripts.<BR /><BR />

&nbsp&nbsp To fix this, type in the following to enable SELinux to allow Apache connection to remote database:<BR /><BR />

&nbsp&nbsp&nbsp <span style='font-family: courier; color: GREEN; '>setsebool -P httpd_can_network_connect=1</span>",2010-07-27 09:23:35,2010-07-27 09:33:01
29,3,1,Subversion: Switching Repository..,How to change from one host repository to another.,"","svn switch --relocate [old URL] [new URL]
<BR />
ex.:
<BR />
<span style=""font-family: courier; color: green;"">svn switch --relocate http://9289.com.au/repos/www.store.9289.com.au/trunk http://ideam.com.au/repos/9289store/trunk </span>
<br />
<br />
See <a href=""http://svnbook.red-bean.com/en/1.1/re27.html"">svnbook</a> for more details on this.",2010-07-30 15:11:29,2010-07-30 15:54:53
30,3,1,MySQL: importing-export mysql table.,Exporting existing table as a new table in another database.,"","At the source database server, execute this terminal command:<br />
<span style=""color: black; font-family: courier;"">mysqldump -u root -p [FromDatabaseName] [tableName] > [filePath.sql]</span>
<br /><br />
Then copy the output file(""filePath.sql"") to the destination database server and execute this command on the terminal:<br />
<span style=""color: black; font-family: courier;"">mysql -u root -p [ToDatabaseName] < [filePath.sql]</span>
<br /><br />
If you want, you may also rename the exported table on the destination database:
<br />
<span style=""color: black; font-family: courier;"">mysql -u root -p</span><br />
<span style=""color: black; font-family: courier;"">rename table tableName to newTableName;</span>",2010-08-11 15:46:02,2010-08-11 16:30:08
31,3,1,Scratch,Notes to be Added later...,"","Queries below shows how to import data from a CSV file to a new table.... 
<pre class=""brush: js;"">
CREATE TABLE 
      auspost(Pcode INT(10),
              Locality VARCHAR(100),
              State VARCHAR(10),
              Comments VARCHAR(100),
              DeliveryOffice VARCHAR(100),
              PresortIndicator INT(10),
              ParcelZone VARCHAR(10),
              BSPnumber INT(10),
              BSPname VARCHAR(100),
              Category VARCHAR(100)
            );
</pre>
...then
<pre class=""brush: js;"">
LOAD DATA LOCAL INFILE 'pc-full_20100224.csv' 
INTO TABLE auspost 
    FIELDS TERMINATED BY ',' 
    LINES TERMINATED BY '\n';
</pre>",2010-08-11 17:00:22,2014-01-29 11:13:56
